"Source:","C:\Hobbies\Projects\Hardware\KiCad\Transistor Tracer\NPN Tracer\NPN Tracer V2\NPN Tracer V2.kicad_sch"
"Date:","3/27/2023 7:48:10 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","59"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"ADC1, ADC2, ADC3, ADC4, ","4","10K","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Trim-potentiometer",""
"C1, C2, C4, C5, C6, ","5","1n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C3, ","1","100n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C7, C8, C9, C10, ","4","33u","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","Polarized capacitor",""
"C11, ","1","10u","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","Polarized capacitor",""
"D1, D2, D3, D4, D5, ","5","4.9V","D_Zener","Diode_SMD:D_SOD-323","Zener diode",""
"D6, ","1","PWR","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"D7, ","1","1N5817","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","20V 1A Schottky Barrier Rectifier Diode, DO-41",""
"J1, ","1","RC_SEL","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","AD2","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","AD1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","RB_SEL","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","AD4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","AD3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","5V","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8, ","1","PWR","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J9, ","1","13.8V MAX","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","DC Barrel Jack",""
"Q1, ","1","2SC5706","2SC5706-E","Custom_RF:2SC5706","",""
"Q2, Q3, Q4, Q5, Q6, ","5","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, R17, ","2","1K","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R2, R18, ","2","500","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R3, R4, R12, R14, R19, ","5","200","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R5, R6, ","2","237","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R7, R8, ","2","249","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R9, R10, ","2","56K","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R11, R13, ","2","20K","R_US","Resistor_SMD:R_1206_3216Metric","Resistor, US symbol",""
"R15, ","1","33","R_US","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical","Resistor, US symbol",""
"R16, ","1","10","R_US","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical","Resistor, US symbol",""
"TB1, ","1","Nano","ARDUINO_NANO","Microcontrollers:SHIELD_ARDUINO_NANO","",""
"U1, ","1","LM7805","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
"ZX1, ","1","16PIN ZIF","16Pin ZIF","Custom_RF:16Pin ZIF","",""
